gene_symbol	ENTREZ_ID	is_coreseed	is_magma_sig	in_setA	P_meta	Q_meta	P_meta	GWAS_Grade	Q_gwas1	Q_gwas2
PRSS3	5646	FALSE	FALSE	FALSE	0.363551	0.837811	0.363551	None	0.992958	0.542228
TFAP2E	339488	FALSE	FALSE	FALSE	0.363569	0.837811	0.363569	None	0.992958	0.942078
ADHFE1	137872	FALSE	FALSE	FALSE	0.363924	0.838512	0.363924	None	1	0.897918
XDH	7498	FALSE	FALSE	FALSE	0.363966	0.838512	0.363966	None	0.79833	0.855333
UBALD1	124402	FALSE	FALSE	FALSE	0.364144	0.838802	0.364144	None	0.947949	0.718359
MUS81	80198	FALSE	FALSE	FALSE	0.364186	0.838802	0.364186	None	0.975023	0.630189
C20orf202	400831	FALSE	FALSE	FALSE	0.364407	0.839138	0.364407	None	0.962254	0.980295
ZBED2	79413	FALSE	FALSE	FALSE	0.364454	0.839138	0.364454	None	0.9925	0.951459
MAP2K7	5609	FALSE	FALSE	FALSE	0.364472	0.839138	0.364472	None	0.911121	0.780849
RHBDD2	57414	FALSE	FALSE	FALSE	0.364562	0.839237	0.364562	None	0.845074	0.812303
CKAP4	10970	FALSE	FALSE	FALSE	0.364691	0.839426	0.364691	None	0.987484	0.593104
S1PR3	1903	FALSE	FALSE	FALSE	0.365019	0.839967	0.365019	None	1	0.48482
RBM24	221662	FALSE	FALSE	FALSE	0.36502	0.839967	0.36502	None	0.963079	0.687911
C19orf47	126526	FALSE	FALSE	FALSE	0.365086	0.839974	0.365086	None	0.984745	0.607289
DAPP1	27071	FALSE	FALSE	FALSE	0.365117	0.839974	0.365117	None	0.985689	0.960993
DMTF1-AS1	101927420	FALSE	FALSE	FALSE	0.365348	0.840121	0.365348	None	0.975023	0.967243
PLB1	151056	FALSE	FALSE	FALSE	0.365408	0.840121	0.365408	None	0.984976	0.961676
CEP55	55165	FALSE	FALSE	FALSE	0.365415	0.840121	0.365415	None	0.898813	0.787416
INHBA	3624	FALSE	FALSE	FALSE	0.365476	0.840121	0.365476	None	0.71972	0.892644
CLEC20A	400797	FALSE	FALSE	FALSE	0.365476	0.840121	0.365476	None	1	0.913263
MBD3L3	653657	FALSE	FALSE	FALSE	0.365482	0.840121	0.365482	None	0.975023	0.647222
ACAN	176	FALSE	FALSE	FALSE	0.365509	0.840121	0.365509	None	0.908952	0.782127
PIK3R3	8503	FALSE	FALSE	FALSE	0.365613	0.840184	0.365613	None	0.975023	0.647399
MBOAT4	619373	FALSE	FALSE	FALSE	0.365674	0.840184	0.365674	None	0.975679	0.966195
TMEM177	80775	FALSE	FALSE	FALSE	0.365713	0.840184	0.365713	None	0.71972	0.893145
PTS	5805	FALSE	FALSE	FALSE	0.365804	0.840184	0.365804	None	0.911121	0.780849
HHLA2	11148	FALSE	FALSE	FALSE	0.365811	0.840184	0.365811	None	0.962254	0.688459
MYL4	4635	FALSE	FALSE	FALSE	0.365817	0.840184	0.365817	None	0.915517	0.995268
CDK18	5129	FALSE	FALSE	FALSE	0.365925	0.840314	0.365925	None	1	0.88592
BCO1	53630	FALSE	FALSE	FALSE	0.365967	0.840314	0.365967	None	0.992958	0.551516
BABAM1	29086	FALSE	FALSE	FALSE	0.366046	0.840315	0.366046	None	1	0.48482
ZNF547	284306	FALSE	FALSE	FALSE	0.366062	0.840315	0.366062	None	0.954945	0.709171
FOXRED2	80020	FALSE	FALSE	FALSE	0.366202	0.840427	0.366202	None	0.71452	0.909936
NCDN	23154	FALSE	FALSE	FALSE	0.366204	0.840427	0.366204	None	1	0.862968
NAAA	27163	FALSE	FALSE	FALSE	0.366282	0.840497	0.366282	None	0.958912	0.696279
PPP1R15A	23645	FALSE	FALSE	FALSE	0.366405	0.840573	0.366405	None	0.99628	0.935136
CYP2R1	120227	FALSE	FALSE	FALSE	0.366408	0.840573	0.366408	None	0.923209	0.764795
GNMT	27232	FALSE	FALSE	FALSE	0.366511	0.840598	0.366511	None	0.7655	0.862657
SLC35H1	51006	FALSE	FALSE	FALSE	0.366513	0.840598	0.366513	None	0.956434	0.982046
SPATA20	64847	FALSE	FALSE	FALSE	0.366672	0.840775	0.366672	None	0.870684	0.800061
CLIP3	25999	FALSE	FALSE	FALSE	0.366684	0.840775	0.366684	None	1	0.88087
TANGO6	79613	FALSE	FALSE	FALSE	0.366765	0.840853	0.366765	None	0.91962	0.766296
LASP1	3927	FALSE	FALSE	FALSE	0.366864	0.840971	0.366864	None	0.997928	0.93124
CCDC9B	388115	FALSE	FALSE	FALSE	0.367017	0.841168	0.367017	None	1	0.916345
PI4K2A	55361	FALSE	FALSE	FALSE	0.367098	0.841168	0.367098	None	0.970708	0.972645
RASGRF2	5924	FALSE	FALSE	FALSE	0.367126	0.841168	0.367126	None	0.865467	0.801912
CD46	4179	FALSE	FALSE	FALSE	0.367168	0.841168	0.367168	None	0.986705	0.958448
CIP2A	57650	FALSE	FALSE	FALSE	0.367191	0.841168	0.367191	None	0.963079	0.688459
OR2B11	127623	FALSE	FALSE	FALSE	0.367346	0.841168	0.367346	None	0.981358	0.963453
FASTKD1	79675	FALSE	FALSE	FALSE	0.367381	0.841168	0.367381	None	0.757781	0.869072
ZNF83	55769	FALSE	FALSE	FALSE	0.367389	0.841168	0.367389	None	0.975023	0.64649
ADGRG5	221188	FALSE	FALSE	FALSE	0.367436	0.841168	0.367436	None	0.961588	0.695478
ALOX5AP	241	FALSE	FALSE	FALSE	0.367504	0.841168	0.367504	None	0.986906	0.596051
HHIP	64399	FALSE	FALSE	FALSE	0.36751	0.841168	0.36751	None	1	0.823309
HPD	3242	FALSE	FALSE	FALSE	0.367517	0.841168	0.367517	None	0.936072	0.989286
C1QBP	708	FALSE	FALSE	FALSE	0.367645	0.841168	0.367645	None	0.845074	0.812786
GRAMD2B	65983	FALSE	FALSE	FALSE	0.367652	0.841168	0.367652	None	0.976222	0.965376
IKZF5	64376	FALSE	FALSE	FALSE	0.367653	0.841168	0.367653	None	0.821867	0.825287
ABRA	137735	FALSE	FALSE	FALSE	0.367747	0.841276	0.367747	None	0.958015	0.698449
BRSK2	9024	FALSE	FALSE	FALSE	0.36782	0.841336	0.36782	None	0.98521	0.961161
AQP6	363	FALSE	FALSE	FALSE	0.367918	0.841408	0.367918	None	1	0.823309
CTBS	1486	FALSE	FALSE	FALSE	0.367946	0.841408	0.367946	None	0.935597	0.989286
CAMKV	79012	FALSE	FALSE	FALSE	0.368042	0.84152	0.368042	None	1	0.444665
ZNF195	7748	FALSE	FALSE	FALSE	0.368416	0.842184	0.368416	None	0.874087	0.799622
GHDC	84514	FALSE	FALSE	FALSE	0.368426	0.842184	0.368426	None	0.807726	0.836154
KRTAP5-5	439915	FALSE	FALSE	FALSE	0.36854	0.842295	0.36854	None	0.999655	0.506614
AGL	178	FALSE	FALSE	FALSE	0.368638	0.842295	0.368638	None	1	0.909789
UBR4	23352	FALSE	FALSE	FALSE	0.368648	0.842295	0.368648	None	0.98339	0.962318
STUM	375057	FALSE	FALSE	FALSE	0.368698	0.842295	0.368698	None	0.877285	0.797639
ZG16	653808	FALSE	FALSE	FALSE	0.368757	0.842295	0.368757	None	0.75594	
SAP30	8819	FALSE	FALSE	FALSE	0.368757	0.842295	0.368757	None	1	
TMT1A	25840	FALSE	FALSE	FALSE	0.368826	0.842322	0.368826	None	0.934777	0.741247
PDIA4	9601	FALSE	FALSE	FALSE	0.368862	0.842322	0.368862	None	0.823611	0.823309
OSTM1	28962	FALSE	FALSE	FALSE	0.368972	0.842369	0.368972	None	0.957861	0.981463
WIPI1	55062	FALSE	FALSE	FALSE	0.369047	0.842369	0.369047	None	0.981358	0.61749
MED18	54797	FALSE	FALSE	FALSE	0.369106	0.842369	0.369106	None	0.975023	0.637458
FAM135B	51059	FALSE	FALSE	FALSE	0.369134	0.842369	0.369134	None	0.857732	0.807787
ATP5PO	539	FALSE	FALSE	FALSE	0.369135	0.842369	0.369135	None	0.905166	0.785663
RGS14	10636	FALSE	FALSE	FALSE	0.369194	0.842369	0.369194	None	0.992958	0.543583
FUT4	2526	FALSE	FALSE	FALSE	0.369212	0.842369	0.369212	None	1	0.90655
GNB2	2783	FALSE	FALSE	FALSE	0.369423	0.842672	0.369423	None	0.986906	0.596051
ANKZF1	55139	FALSE	FALSE	FALSE	0.369439	0.842672	0.369439	None	0.992958	0.550464
BRAP	8315	FALSE	FALSE	FALSE	0.369504	0.842713	0.369504	None	0.950088	0.716337
CORO2B	10391	FALSE	FALSE	FALSE	0.369624	0.842881	0.369624	None	0.95582	0.702949
KRABD5	124411	FALSE	FALSE	FALSE	0.369732	0.84302	0.369732	None	0.999655	0.92538
DNAJC8	22826	FALSE	FALSE	FALSE	0.369877	0.843243	0.369877	None	1	0.861578
PDCD7	10081	FALSE	FALSE	FALSE	0.370025	0.843373	0.370025	None	0.954945	0.709917
THTPA	79178	FALSE	FALSE	FALSE	0.370029	0.843373	0.370029	None	1	0.913263
SI	6476	FALSE	FALSE	FALSE	0.370255	0.843763	0.370255	None	1	0.488322
TMEM237	65062	FALSE	FALSE	FALSE	0.370338	0.843763	0.370338	None	0.9997	0.502041
PIK3IP1	113791	FALSE	FALSE	FALSE	0.370404	0.843763	0.370404	None	0.79135	0.85902
ADAMTS17	170691	FALSE	FALSE	FALSE	0.370448	0.843763	0.370448	None	0.975023	0.646085
NDUFV1	4723	FALSE	FALSE	FALSE	0.370452	0.843763	0.370452	None	0.845491	0.813017
ENTREZ:100287477	100287477	FALSE	FALSE	FALSE	0.370482	0.843763	0.370482	None	0.999655	0.92538
ABCA12	26154	FALSE	FALSE	FALSE	0.370546	0.843801	0.370546	None	0.966055	0.976264
RDH8	50700	FALSE	FALSE	FALSE	0.370687	0.843896	0.370687	None	0.967611	0.976028
ARPC4	10093	FALSE	FALSE	FALSE	0.37069	0.843896	0.37069	None	0.882484	0.795574
ENTREZ:100996701	100996701	FALSE	FALSE	FALSE	0.370738	0.843896	0.370738	None	0.953581	0.984708
RSPRY1	89970	FALSE	FALSE	FALSE	0.370776	0.843896	0.370776	None	0.954945	0.712148
HPS5	11234	FALSE	FALSE	FALSE	0.370894	0.844014	0.370894	None	0.962254	0.980142
MT1B	4490	FALSE	FALSE	FALSE	0.370922	0.844014	0.370922	None	0.923209	0.764065
TRIM56	81844	FALSE	FALSE	FALSE	0.370975	0.844029	0.370975	None	0.949007	0.984945
RGS8	85397	FALSE	FALSE	FALSE	0.371063	0.844121	0.371063	None	0.938772	0.736946
C3orf18	51161	FALSE	FALSE	FALSE	0.371223	0.844281	0.371223	None	0.800242	0.8541
OSCP1	127700	FALSE	FALSE	FALSE	0.371255	0.844281	0.371255	None	1	0.861578
FAM133B	257415	FALSE	FALSE	FALSE	0.371279	0.844281	0.371279	None	0.966055	0.976264
ASTL	431705	FALSE	FALSE	FALSE	0.371321	0.844281	0.371321	None	0.757781	0.869496
PTK2B	2185	FALSE	FALSE	FALSE	0.371512	0.844607	0.371512	None	0.992958	0.939981
CCT3	7203	FALSE	FALSE	FALSE	0.371717	0.844887	0.371717	None	0.885	0.794285
GLTP	51228	FALSE	FALSE	FALSE	0.37173	0.844887	0.37173	None	0.969258	0.674614
MTBP	27085	FALSE	FALSE	FALSE	0.371875	0.845102	0.371875	None	0.992958	0.942078
HDC	3067	FALSE	FALSE	FALSE	0.371961	0.845102	0.371961	None	0.999655	0.926154
TMPRSS12	283471	FALSE	FALSE	FALSE	0.371966	0.845102	0.371966	None	0.965525	0.976264
PTGR1	22949	FALSE	FALSE	FALSE	0.372188	0.845258	0.372188	None	0.986906	0.957385
CDH23	64072	FALSE	FALSE	FALSE	0.372279	0.845258	0.372279	None	0.925146	0.989903
ABCG1	9619	FALSE	FALSE	FALSE	0.372331	0.845258	0.372331	None	0.82571	0.823911
ENTREZ:101928631	101928631	FALSE	FALSE	FALSE	0.372341	0.845258	0.372341	None	0.907873	0.995895
PSMB4	5692	FALSE	FALSE	FALSE	0.372369	0.845258	0.372369	None	1	0.460304
IDH1	3417	FALSE	FALSE	FALSE	0.37245	0.845258	0.37245	None	0.883589	0.795044
CCDC42	146849	FALSE	FALSE	FALSE	0.372457	0.845258	0.372457	None	0.986199	0.602418
HINT1	3094	FALSE	FALSE	FALSE	0.372583	0.845258	0.372583	None	0.954945	0.709171
ETAA1	54465	FALSE	FALSE	FALSE	0.372615	0.845258	0.372615	None	0.958525	0.980478
ZNF668	79759	FALSE	FALSE	FALSE	0.372625	0.845258	0.372625	None	1	0.896504
TDRD6	221400	FALSE	FALSE	FALSE	0.372625	0.845258	0.372625	None	0.984255	0.961245
GRAMD2A	196996	FALSE	FALSE	FALSE	0.372643	0.845258	0.372643	None	0.834034	1
FDPS	2224	FALSE	FALSE	FALSE	0.372647	0.845258	0.372647	None	0.977882	0.964567
RAP2B	5912	FALSE	FALSE	FALSE	0.37275	0.845385	0.37275	None	1	0.912461
SET	6418	FALSE	FALSE	FALSE	0.372902	0.845614	0.372902	None	0.923209	0.991329
KIF18A	81930	FALSE	FALSE	FALSE	0.372946	0.845614	0.372946	None	0.91962	0.768133
TDRD5	163589	FALSE	FALSE	FALSE	0.373129	0.845898	0.373129	None	1	0.909724
PLA2G7	7941	FALSE	FALSE	FALSE	0.373199	0.845898	0.373199	None	1	0.914709
DAAM2	23500	FALSE	FALSE	FALSE	0.373323	0.845898	0.373323	None	1	0.780849
FAM32A	26017	FALSE	FALSE	FALSE	0.373515	0.845898	0.373515	None	0.992958	0.571946
CADPS2	93664	FALSE	FALSE	FALSE	0.373572	0.845898	0.373572	None	0.986906	0.957132
ESPNL	339768	FALSE	FALSE	FALSE	0.373579	0.845898	0.373579	None	0.925146	0.989903
ADCY1	107	FALSE	FALSE	FALSE	0.373587	0.845898	0.373587	None	0.958912	0.700689
ODC1	4953	FALSE	FALSE	FALSE	0.37362	0.845898	0.37362	None	0.988159	0.954447
TBC1D5	9779	FALSE	FALSE	FALSE	0.37362	0.845898	0.37362	None	0.973722	0.658944
KCNF1	3754	FALSE	FALSE	FALSE	0.373707	0.845898	0.373707	None	0.975679	0.964842
ZNF628	89887	FALSE	FALSE	FALSE	0.373727	0.845898	0.373727	None	1	0.891372
PI4KA	5297	FALSE	FALSE	FALSE	0.373778	0.845898	0.373778	None	0.93097	0.989286
NME7	29922	FALSE	FALSE	FALSE	0.373785	0.845898	0.373785	None	0.981358	0.963445
TEX38	374973	FALSE	FALSE	FALSE	0.373931	0.845898	0.373931	None	1	0.909724
PRICKLE4	29964	FALSE	FALSE	FALSE	0.373944	0.845898	0.373944	None	0.888878	0.794137
ACTA1	58	FALSE	FALSE	FALSE	0.373971	0.845898	0.373971	None	0.992958	0.571513
SGO2	151246	FALSE	FALSE	FALSE	0.373983	0.845898	0.373983	None	0.938772	0.738747
CA10	56934	FALSE	FALSE	FALSE	0.373995	0.845898	0.373995	None	1	0.918905
ESYT2	57488	FALSE	FALSE	FALSE	0.374017	0.845898	0.374017	None	0.994988	0.934349
LMNTD2	256329	FALSE	FALSE	FALSE	0.374062	0.845898	0.374062	None	0.919599	0.771356
RHOU	58480	FALSE	FALSE	FALSE	0.374062	0.845898	0.374062	None	0.757929	0.868866
MBOAT1	154141	FALSE	FALSE	FALSE	0.374251	0.845992	0.374251	None	0.974831	0.656113
MICALL1	85377	FALSE	FALSE	FALSE	0.374272	0.845992	0.374272	None	0.992958	0.565669
NEIL3	55247	FALSE	FALSE	FALSE	0.374341	0.845992	0.374341	None	0.969258	0.972937
MRPS15	64960	FALSE	FALSE	FALSE	0.374356	0.845992	0.374356	None	1	0.812303
MRE11	4361	FALSE	FALSE	FALSE	0.374367	0.845992	0.374367	None	1	0.881402
MAN2C1	4123	FALSE	FALSE	FALSE	0.374386	0.845992	0.374386	None	1	0.887593
ATG2A	23130	FALSE	FALSE	FALSE	0.37449	0.84612	0.37449	None	0.969258	0.972937
SPTB	6710	FALSE	FALSE	FALSE	0.374586	0.846229	0.374586	None	0.966055	0.686451
FBN1	2200	FALSE	FALSE	FALSE	0.374683	0.846246	0.374683	None	0.893992	0.792799
LIPC	3990	FALSE	FALSE	FALSE	0.374688	0.846246	0.374688	None	1	0.918286
AIFM2	84883	FALSE	FALSE	FALSE	0.37478	0.846337	0.37478	None	0.925873	0.754091
PRICKLE1	144165	FALSE	FALSE	FALSE	0.374823	0.846337	0.374823	None	0.965525	0.687637
DNAL1	83544	FALSE	FALSE	FALSE	0.374908	0.846357	0.374908	None	0.925146	0.990335
KRTAP10-11	386678	FALSE	FALSE	FALSE	0.374926	0.846357	0.374926	None	0.920233	0.991372
RFTN2	130132	FALSE	FALSE	FALSE	0.375311	0.84711	0.375311	None	0.976222	0.632371
NOP56	10528	FALSE	FALSE	FALSE	0.375354	0.84711	0.375354	None	0.915517	0.994733
STX4	6810	FALSE	FALSE	FALSE	0.375477	0.847246	0.375477	None	1	0.861713
SUMO3	6612	FALSE	FALSE	FALSE	0.375518	0.847246	0.375518	None	0.962254	0.977703
HYAL1	3373	FALSE	FALSE	FALSE	0.375556	0.847246	0.375556	None	0.883651	0.795906
LCE1A	353131	FALSE	FALSE	FALSE	0.375679	0.847254	0.375679	None	0.800242	0.857833
P3H1	64175	FALSE	FALSE	FALSE	0.375718	0.847254	0.375718	None	0.954945	0.71574
POLR3D	661	FALSE	FALSE	FALSE	0.37578	0.847254	0.37578	None	0.950088	0.719887
SLC25A20	788	FALSE	FALSE	FALSE	0.37583	0.847254	0.37583	None	0.9925	0.586167
CYB5A	1528	FALSE	FALSE	FALSE	0.375863	0.847254	0.375863	None	0.877285	0.99786
LZTS1	11178	FALSE	FALSE	FALSE	0.375865	0.847254	0.375865	None	0.950088	0.719887
AFG2B	79029	FALSE	FALSE	FALSE	0.37589	0.847254	0.37589	None	0.962254	0.977774
ILF3	3609	FALSE	FALSE	FALSE	0.375938	0.847255	0.375938	None	0.955179	0.709171
FAM177A1	283635	FALSE	FALSE	FALSE	0.376129	0.847269	0.376129	None	0.919599	0.772688
CXCL11	6373	FALSE	FALSE	FALSE	0.376152	0.847269	0.376152	None	0.882157	0.79809
C1orf159	54991	FALSE	FALSE	FALSE	0.376152	0.847269	0.376152	None	1	0.901601
MTRR	4552	FALSE	FALSE	FALSE	0.37625	0.847269	0.37625	None	1	0.900302
LY6S-AS1	286122	FALSE	FALSE	FALSE	0.376258	0.847269	0.376258	None	0.96313	0.976586
DEGS1	8560	FALSE	FALSE	FALSE	0.37627	0.847269	0.37627	None	0.963251	0.97644
ADAM28	10863	FALSE	FALSE	FALSE	0.376275	0.847269	0.376275	None	0.986517	0.957132
CACNA2D1	781	FALSE	FALSE	FALSE	0.376486	0.847319	0.376486	None	0.992958	0.560938
ESCO2	157570	FALSE	FALSE	FALSE	0.376535	0.847319	0.376535	None	0.821867	0.831091
MEA1	4201	FALSE	FALSE	FALSE	0.376587	0.847319	0.376587	None	0.968408	0.975142
ABI1	10006	FALSE	FALSE	FALSE	0.376596	0.847319	0.376596	None	0.969313	0.674121
NCBP1	4686	FALSE	FALSE	FALSE	0.376615	0.847319	0.376615	None	1	0.915947
CMTR2	55783	FALSE	FALSE	FALSE	0.376679	0.847319	0.376679	None	0.992958	0.9437
CNOT1	23019	FALSE	FALSE	FALSE	0.376703	0.847319	0.376703	None	0.800242	0.857833
RNF225	646862	FALSE	FALSE	FALSE	0.376772	0.847319	0.376772	None	0.954945	0.710798
ISLR2	57611	FALSE	FALSE	FALSE	0.376789	0.847319	0.376789	None	1	0.900079
PROKR1	10887	FALSE	FALSE	FALSE	0.376852	0.847319	0.376852	None	0.999655	0.511691
ITGAE	3682	FALSE	FALSE	FALSE	0.376854	0.847319	0.376854	None	0.986906	0.955138
CEACAM6	4680	FALSE	FALSE	FALSE	0.37689	0.847319	0.37689	None	0.953715	0.717997
PCP4L1	654790	FALSE	FALSE	FALSE	0.376948	0.847319	0.376948	None	0.915517	0.776869
NOL7	51406	FALSE	FALSE	FALSE	0.376981	0.847319	0.376981	None	1	0.891649
WWC1	23286	FALSE	FALSE	FALSE	0.377017	0.847319	0.377017	None	0.730785	0.892192
RPL19	6143	FALSE	FALSE	FALSE	0.377174	0.847319	0.377174	None	0.925146	0.990392
NLRP14	338323	FALSE	FALSE	FALSE	0.37718	0.847319	0.37718	None	0.992958	0.945081
MOB3B	79817	FALSE	FALSE	FALSE	0.377186	0.847319	0.377186	None	0.845929	0.813017
CNPY1	285888	FALSE	FALSE	FALSE	0.377196	0.847319	0.377196	None	0.969459	0.674121
ALKBH4	54784	FALSE	FALSE	FALSE	0.377278	0.847398	0.377278	None	0.970087	0.670551
METTL14	57721	FALSE	FALSE	FALSE	0.377455	0.84746	0.377455	None	0.998059	0.523763
TSACC	128229	FALSE	FALSE	FALSE	0.377517	0.84746	0.377517	None	0.871808	0.800691
ENTREZ:283278	283278	FALSE	FALSE	FALSE	0.377535	0.84746	0.377535	None	0.925179	0.989286
DPP9-AS1	100131094	FALSE	FALSE	FALSE	0.377566	0.84746	0.377566	None	1	0.879291
LRATD2	157638	FALSE	FALSE	FALSE	0.377609	0.84746	0.377609	None	0.999655	0.512014
CCNE2	9134	FALSE	FALSE	FALSE	0.37763	0.84746	0.37763	None	0.963079	0.976708
ARB2A	83989	FALSE	FALSE	FALSE	0.377644	0.84746	0.377644	None	0.95582	0.709171
CDS1	1040	FALSE	FALSE	FALSE	0.377684	0.84746	0.377684	None	0.71452	0.913263
SPMIP9	200523	FALSE	FALSE	FALSE	0.377791	0.847501	0.377791	None	0.8923	0.79458
TIFAB	497189	FALSE	FALSE	FALSE	0.377796	0.847501	0.377796	None	1	0.876622
WDR86	349136	FALSE	FALSE	FALSE	0.377878	0.847576	0.377878	None	1	0.887593
PTPN7	5778	FALSE	FALSE	FALSE	0.377958	0.847576	0.377958	None	0.992958	0.942447
CDH3	1001	FALSE	FALSE	FALSE	0.377972	0.847576	0.377972	None	0.86104	0.998856
HAND1	9421	FALSE	FALSE	FALSE	0.378247	0.848029	0.378247	None	0.800242	0.846518
TNNI3K	51086	FALSE	FALSE	FALSE	0.378269	0.848029	0.378269	None	1	0.862968
ACTL8	81569	FALSE	FALSE	FALSE	0.378342	0.848088	0.378342	None	1	0.916345
TCFL5	10732	FALSE	FALSE	FALSE	0.378409	0.848132	0.378409	None	0.992787	0.946375
AADACL4	343066	FALSE	FALSE	FALSE	0.378607	0.848469	0.378607	None	0.990091	0.950725
EIF2S1	1965	FALSE	FALSE	FALSE	0.37869	0.848549	0.37869	None	1	0.865907
CD37	951	FALSE	FALSE	FALSE	0.37896	0.848993	0.37896	None	0.925146	0.989286
WDR37	22884	FALSE	FALSE	FALSE	0.379017	0.848993	0.379017	None	0.88324	0.997552
MTF2	22823	FALSE	FALSE	FALSE	0.379033	0.848993	0.379033	None	0.962254	0.697509
CLP1	10978	FALSE	FALSE	FALSE	0.379086	0.848993	0.379086	None	0.992958	0.562645
PNISR	25957	FALSE	FALSE	FALSE	0.379125	0.848993	0.379125	None	0.985886	0.957132
H6PD	9563	FALSE	FALSE	FALSE	0.379194	0.849042	0.379194	None	0.97113	0.971634
SLC2A6	11182	FALSE	FALSE	FALSE	0.379244	0.849047	0.379244	None	1	0.919892
ZC3H7B	23264	FALSE	FALSE	FALSE	0.379342	0.849162	0.379342	None	0.95948	0.702949
NOP53	29997	FALSE	FALSE	FALSE	0.379444	0.849283	0.379444	None	1	0.913263
ZIC4	84107	FALSE	FALSE	FALSE	0.379674	0.849464	0.379674	None	0.95582	0.709171
SGPL1	8879	FALSE	FALSE	FALSE	0.37974	0.849464	0.37974	None	1	0.822246
PRKAG1	5571	FALSE	FALSE	FALSE	0.379792	0.849464	0.379792	None	0.923209	0.990473
ADAP1	11033	FALSE	FALSE	FALSE	0.379844	0.849464	0.379844	None	1	0.887593
ZNF236	7776	FALSE	FALSE	FALSE	0.379879	0.849464	0.379879	None	0.992958	0.938488
WDR59	79726	FALSE	FALSE	FALSE	0.379967	0.849464	0.379967	None	1	0.899122
CA7	766	FALSE	FALSE	FALSE	0.380086	0.849464	0.380086	None	0.999655	0.513243
CLCF1	23529	FALSE	FALSE	FALSE	0.380157	0.849464	0.380157	None	0.958912	0.703679
METTL15	196074	FALSE	FALSE	FALSE	0.380186	0.849464	0.380186	None	0.925146	0.760546
VPS13C	54832	FALSE	FALSE	FALSE	0.380266	0.849464	0.380266	None	1	0.283504
ATP5F1B	506	FALSE	FALSE	FALSE	0.380275	0.849464	0.380275	None	0.962254	0.697509
KRT7	3855	FALSE	FALSE	FALSE	0.380303	0.849464	0.380303	None	0.982157	0.961161
INKA1	389119	FALSE	FALSE	FALSE	0.380425	0.849464	0.380425	None	1	0.405498
TARBP2	6895	FALSE	FALSE	FALSE	0.380517	0.849464	0.380517	None	0.817697	0.836154
NPFF	8620	FALSE	FALSE	FALSE	0.380517	0.849464	0.380517	None	0.817697	0.836154
WNT16	51384	FALSE	FALSE	FALSE	0.380554	0.849464	0.380554	None	0.992958	0.550248
C1QTNF5	114902	FALSE	FALSE	FALSE	0.380584	0.849464	0.380584	None	0.923209	0.766296
MFRP	83552	FALSE	FALSE	FALSE	0.380584	0.849464	0.380584	None	0.923209	0.766296
SEMA6C	10500	FALSE	FALSE	FALSE	0.380596	0.849464	0.380596	None	0.981358	0.624936
HOXA11	3207	FALSE	FALSE	FALSE	0.380641	0.849464	0.380641	None	1	0.913263
C3orf38	285237	FALSE	FALSE	FALSE	0.380748	0.849464	0.380748	None	0.997312	0.929834
MVB12B	89853	FALSE	FALSE	FALSE	0.380826	0.849464	0.380826	None	0.94339	0.737787
CHURC1-FNTB	100529261	FALSE	FALSE	FALSE	0.38088	0.849464	0.38088	None	0.986906	0.602418
BICD2	23299	FALSE	FALSE	FALSE	0.38095	0.849464	0.38095	None	0.997315	0.929716
IFNA7	3444	FALSE	FALSE	FALSE	0.380951	0.849464	0.380951	None	0.942764	0.74
IZUMO3	100129669	FALSE	FALSE	FALSE	0.380968	0.849464	0.380968	None	0.919599	0.772688
CTXN3	613212	FALSE	FALSE	FALSE	0.381	0.849464	0.381	None	0.962254	0.697509
CHST1	8534	FALSE	FALSE	FALSE	0.381023	0.849464	0.381023	None	0.950088	0.722828
GRM2	2912	FALSE	FALSE	FALSE	0.381035	0.849464	0.381035	None	0.947949	0.728538
SLCO6A1	133482	FALSE	FALSE	FALSE	0.381103	0.849464	0.381103	None	0.974617	0.969941
TBL1XR1	79718	FALSE	FALSE	FALSE	0.381116	0.849464	0.381116	None	1	0.822094
ST7	7982	FALSE	FALSE	FALSE	0.381167	0.849464	0.381167	None	0.975023	0.964842
PRKACA	5566	FALSE	FALSE	FALSE	0.381169	0.849464	0.381169	None	0.970084	0.674121
C2orf76	130355	FALSE	FALSE	FALSE	0.381228	0.849464	0.381228	None	0.96048	0.702949
OR2M3	127062	FALSE	FALSE	FALSE	0.381236	0.849464	0.381236	None	0.975023	0.646657
ZDHHC5	25921	FALSE	FALSE	FALSE	0.381277	0.849464	0.381277	None	0.989149	0.596051
PAPOLB	56903	FALSE	FALSE	FALSE	0.381278	0.849464	0.381278	None	0.873005	0.801838
SPRED3	399473	FALSE	FALSE	FALSE	0.381392	0.849613	0.381392	None	1	0.880718
CA14	23632	FALSE	FALSE	FALSE	0.381533	0.849808	0.381533	None	0.990983	0.591867
ABCG4	64137	FALSE	FALSE	FALSE	0.381583	0.849808	0.381583	None	0.821867	0.83286
KRTAP1-4	728255	FALSE	FALSE	FALSE	0.381663	0.849808	0.381663	None	1	0.880789
CASR	846	FALSE	FALSE	FALSE	0.381669	0.849808	0.381669	None	0.998059	0.926648
HSD11B1L	374875	FALSE	FALSE	FALSE	0.381902	0.850221	0.381902	None	0.992958	0.940341
HIBADH	11112	FALSE	FALSE	FALSE	0.38207	0.850411	0.38207	None	0.938772	0.742193
